x, f(x), mean, lower, upper, acq
0.000000,0.648022,0.553057,-2.432208,3.538322,6.545243
0.001000,0.630689,0.550790,-2.430352,3.531931,6.534236
0.002000,0.613554,0.548489,-2.428443,3.525422,6.523014
0.003000,0.596635,0.546155,-2.426481,3.518792,6.511576
0.004000,0.579948,0.543788,-2.424464,3.512040,6.499916
0.005000,0.563507,0.541385,-2.422392,3.505163,6.488031
0.006000,0.547326,0.538948,-2.420263,3.498159,6.475919
0.007000,0.531417,0.536476,-2.418076,3.491027,6.463574
0.008000,0.515792,0.533968,-2.415829,3.483765,6.450995
0.009000,0.500461,0.531424,-2.413523,3.476370,6.438175
0.010000,0.485433,0.528843,-2.411156,3.468841,6.425113
0.011000,0.470716,0.526225,-2.408726,3.461175,6.411804
0.012000,0.456316,0.523570,-2.406232,3.453371,6.398244
0.013000,0.442240,0.520876,-2.403674,3.445426,6.384430
0.014000,0.428491,0.518145,-2.401049,3.437339,6.370358
0.015000,0.415073,0.515374,-2.398358,3.429106,6.356023
0.016000,0.401988,0.512565,-2.395598,3.420727,6.341422
0.017000,0.389236,0.509715,-2.392768,3.412198,6.326551
0.018000,0.376816,0.506825,-2.389867,3.403518,6.311405
0.019000,0.364728,0.503895,-2.386895,3.394685,6.295982
0.020000,0.352969,0.500923,-2.383849,3.385696,6.280276
0.021000,0.341534,0.497910,-2.380728,3.376548,6.264284
0.022000,0.330420,0.494855,-2.377531,3.367241,6.248001
0.023000,0.319619,0.491757,-2.374257,3.357771,6.231424
0.024000,0.309125,0.488616,-2.370904,3.348137,6.214548
0.025000,0.298930,0.485432,-2.367472,3.338336,6.197369
0.026000,0.289026,0.482204,-2.363958,3.328365,6.179883
0.027000,0.279402,0.478931,-2.360362,3.318223,6.162085
0.028000,0.270048,0.475613,-2.356682,3.307907,6.143972
0.029000,0.260953,0.472250,-2.352916,3.297415,6.125539
0.030000,0.252105,0.468840,-2.349064,3.286745,6.106782
0.031000,0.243491,0.465385,-2.345124,3.275894,6.087697
0.032000,0.235097,0.461882,-2.341095,3.264859,6.068279
0.033000,0.226910,0.458332,-2.336975,3.253640,6.048524
0.034000,0.218915,0.454734,-2.332764,3.242232,6.028428
0.035000,0.211098,0.451088,-2.328458,3.230634,6.007986
0.036000,0.203444,0.447393,-2.324058,3.218843,5.987194
0.037000,0.195937,0.443648,-2.319562,3.206858,5.966048
0.038000,0.188561,0.439853,-2.314968,3.194675,5.944544
0.039000,0.181301,0.436008,-2.310275,3.182292,5.922677
0.040000,0.174141,0.432113,-2.305482,3.169707,5.900442
0.041000,0.167066,0.428166,-2.300587,3.156918,5.877836
0.042000,0.160058,0.424167,-2.295589,3.143922,5.854854
0.043000,0.153103,0.420115,-2.290486,3.130717,5.831492
0.044000,0.146185,0.416011,-2.285278,3.117300,5.807746
0.045000,0.139288,0.411854,-2.279962,3.103669,5.783610
0.046000,0.132398,0.407642,-2.274537,3.089821,5.759083
0.047000,0.125501,0.403377,-2.269002,3.075755,5.734157
0.048000,0.118581,0.399056,-2.263356,3.061468,5.708831
0.049000,0.111625,0.394681,-2.257596,3.046958,5.683099
0.050000,0.104621,0.390249,-2.251723,3.032221,5.656957
0.051000,0.097556,0.385762,-2.245734,3.017257,5.630402
0.052000,0.090417,0.381217,-2.239628,3.002063,5.603429
0.053000,0.083194,0.376616,-2.233403,2.986635,5.576033
0.054000,0.075876,0.371957,-2.227059,2.970973,5.548212
0.055000,0.068453,0.367240,-2.220594,2.955074,5.519961
0.056000,0.060918,0.362464,-2.214007,2.938935,5.491276
0.057000,0.053261,0.357630,-2.207296,2.922555,5.462154
0.058000,0.045476,0.352736,-2.200460,2.905931,5.432590
0.059000,0.037556,0.347782,-2.193497,2.889061,5.402582
0.060000,0.029497,0.342768,-2.186408,2.871943,5.372124
0.061000,0.021295,0.337693,-2.179190,2.854576,5.341214
0.062000,0.012945,0.332557,-2.171842,2.836956,5.309848
0.063000,0.004446,0.327360,-2.164363,2.819082,5.278023
0.064000,-0.004204,0.322100,-2.156751,2.800951,5.245735
0.065000,-0.013004,0.316778,-2.149006,2.782563,5.212981
0.066000,-0.021955,0.311394,-2.141127,2.763915,5.179758
0.067000,-0.031054,0.305946,-2.133112,2.745005,5.146063
0.068000,-0.040298,0.300435,-2.124961,2.725831,5.111893
0.069000,-0.049685,0.294861,-2.116671,2.706393,5.077244
0.070000,-0.059208,0.289222,-2.108243,2.686687,5.042115
0.071000,-0.068864,0.283519,-2.099675,2.666712,5.006503
0.072000,-0.078645,0.277750,-2.090967,2.646468,4.970405
0.073000,-0.088544,0.271917,-2.082116,2.625951,4.933818
0.074000,-0.098553,0.266019,-2.073124,2.605161,4.896741
0.075000,-0.108662,0.260055,-2.063988,2.584097,4.859171
0.076000,-0.118863,0.254024,-2.054708,2.562757,4.821107
0.077000,-0.129144,0.247928,-2.045283,2.541140,4.782546
0.078000,-0.139495,0.241766,-2.035713,2.519244,4.743488
0.079000,-0.149904,0.235537,-2.025997,2.497070,4.703930
0.080000,-0.160357,0.229241,-2.016133,2.474615,4.663871
0.081000,-0.170844,0.222878,-2.006123,2.451878,4.623311
0.082000,-0.181349,0.216448,-1.995964,2.428860,4.582248
0.083000,-0.191860,0.209951,-1.985657,2.405559,4.540682
0.084000,-0.202363,0.203386,-1.975202,2.381975,4.498612
0.085000,-0.212842,0.196755,-1.964597,2.358106,4.456037
0.086000,-0.223284,0.190055,-1.953844,2.333954,4.412958
0.087000,-0.233673,0.183288,-1.942940,2.309517,4.369376
0.088000,-0.243996,0.176454,-1.931887,2.284796,4.325289
0.089000,-0.254236,0.169552,-1.920685,2.259789,4.280700
0.090000,-0.264380,0.162583,-1.909332,2.234498,4.235608
0.091000,-0.274412,0.155546,-1.897830,2.208923,4.190016
0.092000,-0.284319,0.148443,-1.886179,2.183064,4.143924
0.093000,-0.294085,0.141272,-1.874378,2.156921,4.097334
0.094000,-0.303697,0.134034,-1.862428,2.130495,4.050248
0.095000,-0.313141,0.126729,-1.850330,2.103787,4.002669
0.096000,-0.322403,0.119358,-1.838083,2.076798,3.954599
0.097000,-0.331472,0.111920,-1.825689,2.049529,3.906041
0.098000,-0.340335,0.104416,-1.813148,2.021981,3.856998
0.099000,-0.348980,0.096847,-1.800461,1.994156,3.807473
0.100000,-0.357397,0.089213,-1.787629,1.966055,3.757472
0.101000,-0.365574,0.081514,-1.774652,1.937680,3.706998
0.102000,-0.373503,0.073751,-1.761532,1.909033,3.656055
0.103000,-0.381174,0.065923,-1.748269,1.880116,3.604649
0.104000,-0.388581,0.058033,-1.734866,1.850932,3.552785
0.105000,-0.395715,0.050080,-1.721323,1.821483,3.500470
0.106000,-0.402570,0.042065,-1.707642,1.791772,3.447708
0.107000,-0.409141,0.033989,-1.693824,1.761802,3.394507
0.108000,-0.415425,0.025852,-1.679872,1.731577,3.340875
0.109000,-0.421416,0.017656,-1.665787,1.701099,3.286818
0.110000,-0.427114,0.009401,-1.651570,1.670373,3.232344
0.111000,-0.432516,0.001089,-1.637225,1.639402,3.177462
0.112000,-0.437623,-0.007281,-1.622753,1.608191,3.122182
0.113000,-0.442434,-0.015706,-1.608156,1.576744,3.066511
0.114000,-0.446952,-0.024186,-1.593438,1.545066,3.010461
0.115000,-0.451178,-0.032719,-1.578600,1.513162,2.954041
0.116000,-0.455117,-0.041304,-1.563645,1.481037,2.897264
0.117000,-0.458774,-0.049940,-1.548577,1.448697,2.840139
0.118000,-0.462152,-0.058626,-1.533399,1.416147,2.782680
0.119000,-0.465260,-0.067359,-1.518112,1.383395,2.724898
0.120000,-0.468105,-0.076138,-1.502722,1.350445,2.666807
0.121000,-0.470694,-0.084962,-1.487231,1.317306,2.608422
0.122000,-0.473036,-0.093829,-1.471643,1.283984,2.549755
0.123000,-0.475142,-0.102737,-1.455961,1.250487,2.490823
0.124000,-0.477023,-0.111684,-1.440191,1.216823,2.431641
0.125000,-0.478689,-0.120668,-1.424335,1.182999,2.372224
0.126000,-0.480152,-0.129687,-1.408399,1.149025,2.312591
0.127000,-0.481426,-0.138739,-1.392386,1.114908,2.252758
0.128000,-0.482522,-0.147821,-1.376301,1.080659,2.192744
0.129000,-0.483456,-0.156931,-1.360150,1.046287,2.132567
0.130000,-0.484240,-0.166067,-1.343936,1.011803,2.072248
0.131000,-0.484890,-0.175225,-1.327666,0.977215,2.011807
0.132000,-0.485420,-0.184404,-1.311344,0.942536,1.951264
0.133000,-0.485845,-0.193600,-1.294976,0.907777,1.890641
0.134000,-0.486179,-0.202809,-1.278568,0.872949,1.829961
0.135000,-0.486439,-0.212030,-1.262125,0.838065,1.769248
0.136000,-0.486639,-0.221259,-1.245654,0.803136,1.708524
0.137000,-0.486795,-0.230492,-1.229160,0.768177,1.647815
0.138000,-0.486921,-0.239726,-1.212651,0.733199,1.587147
0.139000,-0.487032,-0.248957,-1.196132,0.698219,1.526545
0.140000,-0.487143,-0.258181,-1.179610,0.663249,1.466037
0.141000,-0.487267,-0.267394,-1.163093,0.628304,1.405651
0.142000,-0.487419,-0.276593,-1.146587,0.593401,1.345415
0.143000,-0.487611,-0.285773,-1.130100,0.558554,1.285359
0.144000,-0.487857,-0.294929,-1.113638,0.523781,1.225513
0.145000,-0.488168,-0.304056,-1.097211,0.489098,1.165909
0.146000,-0.488555,-0.313151,-1.080825,0.454523,1.106578
0.147000,-0.489029,-0.322208,-1.064488,0.420073,1.047554
0.148000,-0.489600,-0.331221,-1.048208,0.385766,0.988869
0.149000,-0.490276,-0.340185,-1.031994,0.351623,0.930559
0.150000,-0.491065,-0.349096,-1.015854,0.317663,0.872659
0.151000,-0.491974,-0.357946,-0.999797,0.283905,0.815205
0.152000,-0.493009,-0.366731,-0.983831,0.250370,0.758233
0.153000,-0.494173,-0.375443,-0.967965,0.217080,0.701783
0.154000,-0.495472,-0.384076,-0.952209,0.184056,0.645892
