x, mean, lower, upper
0,0.7,0.69998,0.70002
0.01,0.695222,0.439213,0.951231
0.02,0.679814,0.178379,1.18125
0.03,0.655391,-0.073726,1.384508
0.04,0.623958,-0.310872,1.558789
0.05,0.587581,-0.529014,1.704175
0.06,0.54818,-0.725888,1.822248
0.07,0.507439,-0.900588,1.915467
0.08,0.466762,-1.053194,1.986718
0.09,0.42727,-1.184434,2.038974
0.1,0.389825,-1.295415,2.075066
0.11,0.355058,-1.387409,2.097525
0.12,0.323404,-1.461674,2.108482
0.13,0.295136,-1.519335,2.109607
0.14,0.270395,-1.561287,2.102078
0.15,0.24922,-1.588128,2.086568
0.16,0.231566,-1.600115,2.063248
0.17,0.217324,-1.597146,2.031794
0.18,0.206327,-1.578749,1.991403
0.19,0.198363,-1.544101,1.940828
0.2,0.193175,-1.492062,1.878413
0.21,0.190459,-1.42124,1.802159
0.22,0.189862,-1.330089,1.709813
0.23,0.190974,-1.217048,1.598995
0.24,0.193324,-1.080737,1.467385
0.25,0.196377,-0.920211,1.312964
0.26,0.199531,-0.735291,1.134354
0.27,0.202133,-0.526976,0.931243
0.28,0.203499,-0.297929,0.704928
0.29,0.20297,-0.053034,0.458975
0.3,0.2,0.19998,0.20002
0.31,0.194299,-0.061793,0.45039
0.32,0.185936,-0.315848,0.68772
0.33,0.175233,-0.554709,0.905175
0.34,0.162618,-0.773768,1.099004
0.35,0.148534,-0.970668,1.267736
0.36,0.133382,-1.14476,1.411524
0.37,0.117493,-1.296618,1.531605
0.38,0.101117,-1.427645,1.629879
0.39,0.084418,-1.53975,1.708585
0.4,0.067478,-1.635106,1.770063
0.41,0.050307,-1.715974,1.816588
0.42,0.032843,-1.784573,1.850259
0.43,0.014967,-1.843001,1.872934
0.44,-0.003495,-1.89318,1.88619
0.45,-0.022762,-1.936834,1.89131
0.46,-0.043096,-1.975474,1.889282
0.47,-0.064793,-2.0104,1.880814
0.48,-0.088182,-2.042704,1.86634
0.49,-0.113617,-2.073276,1.846042
0.5,-0.141473,-2.10281,1.819863
0.51,-0.172139,-2.131799,1.78752
0.52,-0.206009,-2.16053,1.748513
0.53,-0.243468,-2.189074,1.702139
0.54,-0.284883,-2.217261,1.647495
0.55,-0.330578,-2.24465,1.583493
0.56,-0.380816,-2.270501,1.508869
0.57,-0.435761,-2.293728,1.422207
0.58,-0.495447,-2.312863,1.321969
0.59,-0.559732,-2.326013,1.206549
0.6,-0.628245,-2.33083,1.07434
0.61,-0.70033,-2.324498,0.923838
0.62,-0.774981,-2.303744,0.753781
0.63,-0.850784,-2.264896,0.563327
0.64,-0.925858,-2.204,0.352284
0.65,-0.997821,-2.117023,0.121381
0.66,-1.063792,-2.000178,-0.127407
0.67,-1.120462,-1.850404,-0.39052
0.68,-1.164262,-1.666046,-0.662478
0.69,-1.19171,-1.447801,-0.935618
0.7,-1.2,-1.20002,-1.19998
0.71,-1.187941,-1.443946,-0.931937
0.72,-1.156636,-1.658065,-0.655208
0.73,-1.108801,-1.837911,-0.379692
0.74,-1.047827,-1.98265,-0.113005
0.75,-0.977188,-2.093775,0.1394
0.76,-0.900097,-2.174158,0.373964
0.77,-0.819333,-2.227355,0.588689
0.78,-0.737174,-2.257125,0.782776
0.79,-0.655394,-2.267093,0.956306
0.8,-0.575297,-2.260534,1.10994
0.81,-0.497778,-2.240242,1.244687
0.82,-0.423385,-2.208461,1.361691
0.83,-0.352386,-2.166856,1.462084
0.84,-0.284832,-2.116514,1.54685
0.85,-0.220614,-2.057962,1.616734
0.86,-0.15952,-1.991202,1.672163
0.87,-0.101276,-1.915747,1.713195
0.88,-0.045596,-1.830674,1.739482
0.89,0.00778,-1.734687,1.750247
0.9,0.059053,-1.626188,1.744293
0.91,0.108323,-1.503381,1.720026
0.92,0.155563,-1.364393,1.675519
0.93,0.200585,-1.207442,1.608613
0.94,0.24302,-1.031048,1.517087
0.95,0.282297,-0.834298,1.398891
0.96,0.317646,-0.617184,1.252476
0.97,0.348123,-0.380994,1.07724
0.98,0.372669,-0.128766,0.874104
0.99,0.390236,0.134227,0.646245
1,0.4,0.39998,0.40002
